1,1,3
1,2,4
1,5,7
1,6,8
2,4,1
2,3,2
2,8,5
2,7,6
3,1,5
3,2,6
3,3,7
3,4,8
4,6,1
4,5,2
4,8,3
4,7,4
5,1,7
5,2,8
5,3,5
5,4,6
6,8,1
6,7,2
6,6,3
6,5,4
7,2,1
7,4,3
7,6,5
7,8,7
8,3,1
8,4,2
8,7,5
8,8,6
9,1,4
9,2,3
9,5,8
9,6,7
10,5,1
10,6,2
10,7,3
10,8,4
11,1,6
11,2,5
11,3,8
11,4,7
12,7,1
12,8,2
12,5,3
12,6,4
13,1,8
13,2,7
13,3,6
13,4,5
14,1,2
14,3,4
14,5,6
14,7,8
15,1,3
15,2,4
15,5,7
15,6,8
16,4,1
16,3,2
16,8,5
16,7,6
17,1,5
17,2,6
17,3,7
17,4,8
18,6,1
18,5,2
18,8,3
18,7,4
19,1,7
19,2,8
19,3,5
19,4,6
20,8,1
20,7,2
20,6,3
20,5,4
21,2,1
21,4,3
21,6,5
21,8,7
22,3,1
22,4,2
22,7,5
22,8,6
23,1,4
23,2,3
23,5,8
23,6,7
24,5,1
24,6,2
24,7,3
24,8,4
25,1,6
25,2,5
25,3,8
25,4,7
26,7,1
26,8,2
26,5,3
26,6,4
27,1,8
27,2,7
27,3,6
27,4,5
28,1,2
28,3,4
28,5,6
28,7,8
